Date,Open,High,Low,Close,Adj Close,Volume,Daily return
07/02/2013,382.363098,386.888672,380.276672,384.474365,384.474365,5717300,
08/02/2013,387.544403,390.793274,387.26123,390.147461,390.147461,6079300,0.014647657
11/02/2013,386.684998,388.970123,384.375,388.682007,388.682007,4363700,-0.003763226
12/02/2013,388.349152,391.404297,387.16684,387.827545,387.827545,3742100,-0.002200777
13/02/2013,387.544403,390.137543,387.464905,388.900574,388.900574,2411800,0.002762948
14/02/2013,387.345703,391.821564,386.372009,391.364563,391.364563,3493100,0.006315795
15/02/2013,391.155914,394.066986,390.991974,393.883179,393.883179,5495000,0.006414854
19/02/2013,395.423157,400.892578,395.070435,400.818054,400.818054,5901700,0.017453228
20/02/2013,400.048065,401.871216,393.336731,393.669556,393.669556,5564200,-0.017995727
21/02/2013,396.421661,400.122589,393.053558,395.194641,395.194641,7058300,0.003866539
22/02/2013,397.047577,398.036163,394.335236,397.271149,397.271149,4134400,0.005240637
25/02/2013,398.55777,401.593018,392.690918,392.830017,392.830017,4637700,-0.011242051
26/02/2013,394.931366,395.40329,389.665588,392.512085,392.512085,4433600,-0.000809665
27/02/2013,394.832001,399.774841,392.998932,397.305908,397.305908,4078500,0.012139207
28/02/2013,397.961639,400.887604,397.92688,398.011322,398.011322,4561000,0.001773919
01/03/2013,396.322296,400.962128,395.502625,400.490204,400.490204,4379000,0.006208855
04/03/2013,400.048065,408.761414,399.899048,408.095734,408.095734,5587200,0.018812482
05/03/2013,411.786713,417.360474,411.77182,416.590485,416.590485,8140700,0.0206019
06/03/2013,417.797638,419.273041,411.727112,413.003815,413.003815,5783200,-0.008646859
07/03/2013,414.335144,415.606873,412.109619,413.609863,413.609863,4132000,0.001466339
08/03/2013,414.553741,414.76236,409.859253,413.073364,413.073364,5861600,-0.001297956
11/03/2013,413.157806,417.136932,413.063416,414.712708,414.712708,3210000,0.003960797
12/03/2013,412.670959,413.257172,409.173706,411.130981,411.130981,4042700,-0.008674158
13/03/2013,411.275055,412.661041,408.498108,409.988434,409.988434,3303800,-0.002782903
